Learning rate;Beta;Layers;Dropout;F-mesure
0.122989558066;0.00462341332503;[63, 55, 19];0.5;0.08285552589222789
0.472428282609;0.00575653611018;[118, 6];0.5;0.08041422255337238
0.0485995985899;0.00820880394535;[48, 19];0.5;0.04006093228235841
0.0869114698253;0.0102838849165;[17, 4, 4];0.5;0.03439410275314003
0.0277014976784;0.0735999555238;[61, 41];0.5;0.025556827
0.00831789638269;0.0118913766889;[118, 51, 14];0.5;0.022447895
0.0264954419853;0.00363328721906;[75, 4, 4];0.5;0.022249006
0.00741347489666;0.0368923157595;[94, 83];0.5;0.020420505
0.00402007954065;0.104814973754;[27, 20, 14];1.0;0.014975741098169237
0.0856710668042;0.435978286577;[134, 69];0.5;0.011396882
0.4493222964;0.0387188998435;[105, 42, 41];0.5;0.011396882
0.00889020489903;0.562807439823;[139, 86, 85];0.5;0.011396882
0.0104212790377;0.430591218133;[127, 74, 73];0.5;0.011396882
0.0345755712027;0.0822281585926;[114, 62];0.5;0.011396882
0.226572475353;0.0476472797053;[104, 9, 5];0.5;0.011396882
0.429995986009;0.756704453446;[8, 5, 4];0.5;0.011396882
0.133627180979;0.0316964309414;[138, 26];0.5;0.011396882
